subject,detection_prob,sex,correct,median_latency
01a,0.188925,male,1,39.09
01a,0.232775,male,1,42.9201
01a,0.333637,male,1,NA
01a,0.363535,male,1,44.1
01a,0.369824,male,1,40.41
01a,0.377538,male,1,NA
01a,0.396796,male,1,64.33
01a,0.44005,male,1,53.56
01a,0.46532,male,1,29.6
01a,0.528853,male,1,32.94
01a,0.599027,male,1,44.26
01a,0.603442,male,1,52.78
01a,0.608604,male,1,41.87
01a,0.62365,male,1,35.54
01a,0.653048,male,1,27.68
01a,0.714117,male,0,45.98
01a,0.717885,male,1,52.59
01a,0.748358,male,1,82.47
01a,0.75339,male,1,47.49
01a,0.762236,male,1,42.49
01a,0.785137,male,1,45.3
01a,0.791575,male,1,54.41
01a,0.833119,male,1,60.97
01a,0.837215,male,1,40.12
01a,0.846545,male,1,52.38
01a,0.8928,male,1,52.04
01a,0.893881,male,1,NA
01a,0.95435,male,1,NA
01b,0.181116,NA,0,37.4602
01b,0.18375,NA,0,54.65
01b,0.302494,NA,1,54.88
01b,0.307002,NA,1,38.43
01b,0.359386,NA,1,64.9
01b,0.360724,NA,1,46.56
01b,0.36365,NA,1,35.85
01b,0.398094,NA,1,59.58
01b,0.424945,NA,1,51.54
01b,0.434254,NA,1,25.6
01b,0.48509,NA,1,48.59
01b,0.494369,NA,1,38.83
01b,0.563476,NA,1,39.8199
01b,0.590319,NA,1,31.37
01b,0.606846,NA,1,41.52
01b,0.612332,NA,1,37.4
01b,0.680424,NA,0,46.98
01b,0.687186,NA,1,41.67
01b,0.70858,NA,1,51.47
01b,0.723564,NA,1,NA
01b,0.751007,NA,1,69.84
01b,0.784404,NA,1,NA
01b,0.7872,NA,1,37.51
01b,0.808665,NA,1,60.25
01b,0.821638,NA,1,NA
01b,0.954887,NA,1,51.59
01b,0.982528,NA,0,NA
01b,0.9921,NA,1,63.47
01c,0.211674,female,1,55.99
01c,0.237695,female,1,100.21
01c,0.254074,female,1,NA
01c,0.279664,female,1,40.98
01c,0.294452,female,1,NA
01c,0.294569,female,1,50.16
01c,0.338751,female,1,49.08
01c,0.359458,female,1,32.15
01c,0.389655,female,1,48.59
01c,0.407968,female,1,68.72
01c,0.445122,female,1,70.14
01c,0.498308,female,1,24.83
01c,0.521633,female,1,69.7399
01c,0.531499,female,1,80.23
01c,0.556572,female,1,46.0198
01c,0.615778,female,1,70.72
01c,0.622699,female,1,60.89
01c,0.637045,female,1,69.33
01c,0.668012,female,1,76.3
01c,0.674867,female,1,99.2
01c,0.728437,female,1,89.38
01c,0.81112,female,1,NA
01c,0.836264,female,1,78.56
01c,0.846247,female,0,57.27
01c,0.855133,female,1,NA
01c,0.867096,female,1,50.62
01c,0.874213,female,1,55.33
01c,0.875207,female,1,54.59
01d,0.19729,female,1,NA
01d,0.198238,female,1,67.57
01d,0.208611,female,0,63.28
01d,0.2234,female,1,48.67
01d,0.223794,female,1,54.46
01d,0.236895,female,0,55.14
01d,0.252772,female,1,122.37
01d,0.25482900000000003,female,0,46.37
01d,0.283824,female,1,NA
01d,0.288231,female,1,NA
01d,0.351999,female,1,57.7
01d,0.376307,female,1,50.67
01d,0.42565,female,0,48.06
01d,0.488824,female,1,30.35
01d,0.583829,female,1,56.66
01d,0.612274,female,1,48.37
01d,0.614911,female,1,83.6699
01d,0.683865,female,1,69.89
01d,0.701924,female,1,24.6501
01d,0.770649,female,1,60.75
01d,0.788805,female,1,65.5799
01d,0.804913,female,1,37.13
01d,0.820246,female,1,46.25
01d,0.839012,female,1,112.79
01d,0.88727,female,1,65.14
01d,0.922307,female,1,33.69
01d,0.93278,female,0,47.55
01d,0.984595,female,1,NA
02a,0.165604,female,1,60.69
02a,0.199151,female,0,NA
02a,0.272694,female,1,NA
02a,0.299528,female,0,72.81
02a,0.31236,female,1,71.243
02a,0.321775,female,1,104.67
02a,0.347418,female,1,32.33
02a,0.395519,female,1,51.26
02a,0.406774,female,1,54.78
02a,0.435604,female,1,41.25
02a,0.436063,female,1,53.373
02a,0.503814,female,1,51.81
02a,0.577498,female,0,46.55
02a,0.595896,female,1,66.09
02a,0.602586,female,1,35.84
02a,0.609103,female,1,68.57
02a,0.673407,female,1,55.61
02a,0.801286,female,1,38.82
02a,0.808218,female,1,NA
02a,0.816392,female,1,30.26
02a,0.847934,female,0,43.03
02a,0.865581,female,1,92.68
02a,0.881374,female,1,43.97
02a,0.901369,female,0,35.52
02a,0.917177,female,0,34.01
02a,0.934314,female,1,NA
02a,0.958073,female,1,45.2
02a,0.985677,female,1,46.42
02b,0.195758,male,1,68.0399
02b,0.249043,male,1,57.04
02b,0.25172,male,1,38.22
02b,0.291897,male,1,48.145
02b,0.343438,male,1,53.27
02b,0.401472,male,1,43.35
02b,0.406054,male,1,NA
02b,0.41748,male,1,32.07
02b,0.446808,male,0,57.83
02b,0.473198,male,1,82.54
02b,0.498858,male,1,37.52
02b,0.499685,male,1,54.0599
02b,0.539061,male,1,55.34
02b,0.544371,male,1,55.56
02b,0.561629,male,0,NA
02b,0.60644,male,1,40.402
02b,0.608761,male,1,36.43
02b,0.760244,male,1,38.273
02b,0.766627,male,1,NA
02b,0.800356,male,1,NA
02b,0.807324,male,1,64.46
02b,0.858514,male,1,45.58
02b,0.859087,male,1,86.33
02b,0.865851,male,1,43.3
02b,0.889853,male,1,45.3
02b,0.897998,male,1,41.11
02b,0.943732,male,1,41.46
02b,0.955569,male,0,33.04
02c,0.166621,female,1,28.9399
02c,0.170373,female,0,40.52
02c,0.177814,female,1,79.65
02c,0.232589,female,1,43.91
02c,0.253626,female,1,63.84
02c,0.255129,female,1,NA
02c,0.310062,female,1,37.35
02c,0.37531,female,0,35.07
02c,0.447495,female,1,NA
02c,0.449962,female,1,39.89
02c,0.454504,female,1,31.26
02c,0.47365,female,1,34.68
02c,0.502515,female,1,22.69
02c,0.569203,female,1,39.09
02c,0.590114,female,1,62.26
02c,0.698782,female,1,NA
02c,0.739999,female,1,24.0301
02c,0.74201,female,1,29.4899
02c,0.745992,female,1,57.909
02c,0.811162,female,1,38.895
02c,0.815447,female,1,NA
02c,0.867668,female,1,84.07
02c,0.897542,female,1,55.26
02c,0.911682,female,1,26.42
02c,0.950513,female,1,39.62
02c,0.966772,female,1,30.21
02c,0.992731,female,1,40.31
02c,0.995063,female,0,31.9
02d,0.151193,NA,1,35.014
02d,0.15322,NA,0,23.53
02d,0.155952,NA,1,59.88
02d,0.202113,NA,1,NA
02d,0.235467,NA,1,57.24
02d,0.23679,NA,1,46.27
02d,0.244882,NA,1,34.34
02d,0.309157,NA,1,NA
02d,0.352965,NA,1,48.86
02d,0.36656,NA,1,27.3
02d,0.373357,NA,0,40.996
02d,0.420314,NA,1,31.04
02d,0.47836,NA,1,34.32
02d,0.508065,NA,1,40.232
02d,0.626269,NA,1,21.52
02d,0.649126,NA,0,50.18
02d,0.649963,NA,1,33.34
02d,0.654531,NA,1,44.379
02d,0.712151,NA,1,30.24
02d,0.732594,NA,0,29.92
02d,0.777403,NA,1,55.927
02d,0.78261,NA,1,42.73
02d,0.855054,NA,1,26.09
02d,0.923119,NA,1,37.32
02d,0.935657,NA,1,NA
02d,0.962844,NA,1,NA
02d,0.97552,NA,1,25.09
02d,0.988735,NA,1,24.53
03a,0.182081,female,1,35.06
03a,0.183969,female,1,62.18
03a,0.21212,female,1,NA
03a,0.255879,female,1,37.87
03a,0.34624,female,1,49.88
03a,0.362414,female,1,NA
03a,0.39856,female,1,34.44
03a,0.409074,female,1,52.35
03a,0.430014,female,0,33.4
03a,0.432977,female,1,56.42
03a,0.488592,female,1,29.12
03a,0.531712,female,1,45.73
03a,0.547884,female,1,63.4601
03a,0.598352,female,0,30.76
03a,0.598869,female,1,NA
03a,0.605443,female,1,30.82
03a,0.632442,female,0,32.92
03a,0.637013,female,0,NA
03a,0.646109,female,1,33.57
03a,0.659315,female,1,40.18
03a,0.705256,female,0,24.76
03a,0.710823,female,1,75.47
03a,0.715395,female,1,79.21
03a,0.72017,female,0,67.47
03a,0.735653,female,1,40.4199
03a,0.737454,female,1,50.3001
03a,0.762432,female,1,31.06
03a,0.800505,female,1,50.05
03b,0.167114,female,1,35.56
03b,0.167485,female,1,NA
03b,0.171841,female,1,54.57
03b,0.185484,female,0,48.59
03b,0.263212,female,1,50.82
03b,0.271668,female,0,NA
03b,0.312074,female,1,32.22
03b,0.329516,female,0,41.19
03b,0.437727,female,0,33.91
03b,0.511647,female,0,31.28
03b,0.619894,female,1,53.2799
03b,0.648204,female,0,24.18
03b,0.673636,female,1,63.63
03b,0.685322,female,0,48.55
03b,0.702574,female,0,48.75
03b,0.722618,female,0,23.31
03b,0.731372,female,1,37.91
03b,0.734138,female,1,NA
03b,0.766152,female,0,36.27
03b,0.782207,female,0,22.2001
03b,0.853639,female,1,32.2299
03b,0.858778,female,0,27.88
03b,0.877011,female,0,28.41
03b,0.892564,female,1,NA
03b,0.901211,female,0,44.72
03b,0.96266,female,1,35
03b,0.970162,female,1,29.68
03b,0.972743,female,1,36.32
03c,0.186295,female,1,NA
03c,0.191869,female,1,NA
03c,0.194369,female,1,48.51
03c,0.234049,female,1,NA
03c,0.31367,female,1,72.49
03c,0.355859,female,1,42.92
03c,0.369095,female,1,66.2
03c,0.389252,female,1,27.39
03c,0.394928,female,1,36.97
03c,0.419021,female,1,50.79
03c,0.439496,female,0,57.26
03c,0.516842,female,0,30.55
03c,0.533594,female,0,32.31
03c,0.548917,female,1,73.3
03c,0.618453,female,1,43.24
03c,0.702596,female,1,30.05
03c,0.704833,female,1,56.7199
03c,0.732265,female,1,33.97
03c,0.73995,female,1,79.75
03c,0.747815,female,1,87.27
03c,0.759008,female,1,50.33
03c,0.79613,female,1,NA
03c,0.811877,female,0,37.57
03c,0.861036,female,1,27.98
03c,0.886831,female,1,60.38
03c,0.891147,female,1,43.83
03c,0.907333,female,1,77.7999
03c,0.958987,female,1,24.88
03d,0.178447,female,1,NA
03d,0.209278,female,1,80.89
03d,0.211383,female,1,56.92
03d,0.231173,female,0,96.31
03d,0.242424,female,1,39.6
03d,0.314185,female,1,41.01
03d,0.390433,female,1,NA
03d,0.395386,female,1,47.74
03d,0.426203,female,1,55.0898
03d,0.435538,female,0,34.44
03d,0.442024,female,1,NA
03d,0.448785,female,0,74.35
03d,0.450077,female,1,102.5
03d,0.451289,female,1,53.3401
03d,0.471922,female,1,NA
03d,0.492758,female,1,75.13
03d,0.504416,female,1,54.29
03d,0.522493,female,1,75.4702
03d,0.55665,female,1,53
03d,0.562887,female,0,36.77
03d,0.714473,female,1,69.84
03d,0.759283,female,1,33.39
03d,0.865849,female,1,40.51
03d,0.866589,female,1,81.42
03d,0.920819,female,1,45.72
03d,0.935999,female,1,68
03d,0.988667,female,1,58.01
03d,0.995871,female,1,73.72
04a,0.188426,female,1,25.64
04a,0.221347,female,1,28.89
04a,0.265307,female,1,29.97
04a,0.279662,female,1,38.55
04a,0.309161,female,0,NA
04a,0.318545,female,1,46.35
04a,0.320847,female,0,44.49
04a,0.33847,female,0,43.97
04a,0.416976,female,0,59.88
04a,0.487239,female,1,22.03
04a,0.492525,female,1,38.09
04a,0.496467,female,1,45.45
04a,0.502978,female,1,NA
04a,0.551354,female,0,50.79
04a,0.556425,female,1,27.12
04a,0.634257,female,0,33.48
04a,0.678074,female,1,34.36
04a,0.717871,female,0,29.04
04a,0.774005,female,0,45.6299
04a,0.778867,female,1,55.65
04a,0.795472,female,1,23.7302
04a,0.829717,female,0,NA
04a,0.832455,female,1,41.34
04a,0.902671,female,1,NA
04a,0.911837,female,1,44.05
04a,0.955308,female,0,31.77
04a,0.990111,female,1,28
04a,0.996116,female,1,33.72
04b,0.163659,female,0,38.14
04b,0.180939,female,0,29.89
04b,0.185723,female,1,32.29
04b,0.250876,female,1,30.81
04b,0.322863,female,1,42.08
04b,0.352413,female,0,74.73
04b,0.370545,female,1,38.32
04b,0.407407,female,1,22.7199
04b,0.444222,female,0,37.23
04b,0.448213,female,0,NA
04b,0.468093,female,1,27.9801
04b,0.53166,female,0,39.05
04b,0.550752,female,1,47.31
04b,0.592079,female,0,37.44
04b,0.614772,female,0,36.5601
04b,0.616206,female,1,23.76
04b,0.627497,female,1,55.28
04b,0.674533,female,1,26.37
04b,0.690778,female,0,26.04
04b,0.694625,female,1,NA
04b,0.731789,female,1,NA
04b,0.739252,female,1,32.5801
04b,0.774863,female,1,38.1199
04b,0.785258,female,1,36.13
04b,0.864636,female,1,43.88
04b,0.917133,female,1,38.57
04b,0.93616,female,0,35.73
04b,0.951202,female,1,NA
04c,0.197812,female,1,40.8998
04c,0.213228,female,1,79.79
04c,0.216599,female,0,NA
04c,0.276632,female,1,42.33
04c,0.344061,female,1,76
04c,0.349233,female,1,41.3604
04c,0.353049,female,1,55.05
04c,0.401863,female,1,37.67
04c,0.423242,female,0,27.82
04c,0.461636,female,0,59.29
04c,0.470836,female,0,24.95
04c,0.478431,female,1,23.08
04c,0.506212,female,1,NA
04c,0.509104,female,1,37.1501
04c,0.5561,female,1,117.18
04c,0.55695,female,1,33.89
04c,0.616015,female,0,NA
04c,0.65343,female,1,65.76
04c,0.677944,female,1,53.46
04c,0.694152,female,1,65.2
04c,0.834794,female,1,50.24
04c,0.83606,female,1,29.27
04c,0.879949,female,1,35.69
04c,0.892028,female,0,48.09
04c,0.892534,female,1,46.46
04c,0.909757,female,1,38.14
04c,0.96823,female,1,41.97
04c,0.99715,female,1,NA
04d,0.182514,male,1,51.1
04d,0.195271,male,1,55.48
04d,0.204859,male,1,26.93
04d,0.215389,male,1,69.43
04d,0.276135,male,1,30.07
04d,0.288037,male,1,108.9599
04d,0.347601,male,1,36.41
04d,0.365313,male,1,33.27
04d,0.43316,male,1,40.61
04d,0.447465,male,1,80.89
04d,0.463812,male,1,68.19
04d,0.488531,male,1,50.44
04d,0.518652,male,1,NA
04d,0.551816,male,1,37.1
04d,0.576712,male,0,21.99
04d,0.605109,male,1,31.95
04d,0.614537,male,1,NA
04d,0.647025,male,1,34.2101
04d,0.659413,male,1,35.69
04d,0.696628,male,1,39.8498
04d,0.766586,male,1,43.28
04d,0.794191,male,1,29.77
04d,0.797816,male,0,31.3
04d,0.819003,male,1,NA
04d,0.851388,male,1,33.79
04d,0.871572,male,1,24.75
04d,0.906643,male,0,NA
04d,0.943207,male,1,50.3
05a,0.200612,male,0,37.2
05a,0.277518,male,1,24.26
05a,0.301874,male,1,33.79
05a,0.31145,male,0,77.59
05a,0.339473,male,0,39.21
05a,0.344348,male,0,NA
05a,0.390881,male,0,41.11
05a,0.411292,male,0,32.5102
05a,0.417099,male,0,58.39
05a,0.440291,male,0,NA
05a,0.487548,male,0,50.93
05a,0.494145,male,0,22.88
05a,0.518026,male,0,32.3
05a,0.518335,male,0,38.07
05a,0.523552,male,0,15.6799
05a,0.544148,male,0,44.21
05a,0.591549,male,1,20.96
05a,0.773536,male,1,29.6899
05a,0.786651,male,0,20.51
05a,0.800938,male,1,67.3
05a,0.859906,male,0,28.2
05a,0.860589,male,1,29.54
05a,0.914792,male,1,69
05a,0.929117,male,0,NA
05a,0.930245,male,1,NA
05a,0.938614,male,0,25
05a,0.965322,male,1,55
05a,0.989578,male,0,33.5099
05b,0.186208,female,1,53.9
05b,0.238628,female,0,34.99
05b,0.245448,female,0,NA
05b,0.432533,female,1,61.46
05b,0.453569,female,1,36.93
05b,0.508365,female,0,69.75
05b,0.513065,female,1,59.76
05b,0.529249,female,1,39.93
05b,0.532798,female,1,30.98
05b,0.549687,female,1,71.44
05b,0.578397,female,1,31.14
05b,0.587,female,1,NA
05b,0.661677,female,1,34.79
05b,0.699632,female,1,83.41
05b,0.711549,female,1,29.94
05b,0.725222,female,1,NA
05b,0.744333,female,1,NA
05b,0.747913,female,1,42.49
05b,0.806973,female,1,74.87
05b,0.819637,female,1,39.2197
05b,0.858954,female,1,30.22
05b,0.865782,female,1,24.6499
05b,0.868781,female,0,32.82
05b,0.876622,female,1,29.74
05b,0.887505,female,1,49.77
05b,0.891002,female,1,25.4001
05b,0.935939,female,0,53.16
05b,0.954425,female,1,31.42
05c,0.161407,female,0,58.91
05c,0.185788,female,1,NA
